timestamp,instrument_type,instrument_token,open,high,low,close,volume,oi,tick_count
20-02-2026 09:08,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,11
20-02-2026 09:08,FUTURE,15150594,25415.1,25415.1,25415.1,25415.1,2275,14395420,1
20-02-2026 09:09,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,119
20-02-2026 09:10,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,103
20-02-2026 09:11,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,120
20-02-2026 09:12,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,120
20-02-2026 09:13,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,121
20-02-2026 09:14,SPOT,256265,25406.55,25406.55,25406.55,25406.55,0,0,119
20-02-2026 09:15,SPOT,256265,25406.55,25465.4,25387.85,25465.4,0,0,46
20-02-2026 09:15,FUTURE,15150594,25416.5,25480,25412.9,25479,141110,14395030,42
20-02-2026 09:16,SPOT,256265,25463.85,25485.35,25457.5,25469.45,0,0,28
20-02-2026 09:16,FUTURE,15150594,25480,25495,25473,25477,159575,14389245,28
20-02-2026 09:17,SPOT,256265,25471.7,25471.7,25443.4,25443.4,0,0,35
20-02-2026 09:17,FUTURE,15150594,25484.6,25484.6,25450,25450,184210,14389245,34
20-02-2026 09:18,SPOT,256265,25440.75,25450,25422.75,25433.95,0,0,35
20-02-2026 09:18,FUTURE,15150594,25455.7,25465,25435.1,25450,223665,14389245,35
20-02-2026 09:19,SPOT,256265,25435.55,25456.2,25432.6,25453.1,0,0,43
20-02-2026 09:19,FUTURE,15150594,25454,25469.5,25441.6,25469.5,264485,14377935,41
20-02-2026 09:20,SPOT,256265,25453.25,25465.8,25447.15,25457.1,0,0,34
20-02-2026 09:20,FUTURE,15150594,25468.4,25476.2,25460.5,25471.4,293215,14377935,36
20-02-2026 09:21,SPOT,256265,25458.4,25478.7,25458.4,25464.7,0,0,38
20-02-2026 09:21,FUTURE,15150594,25470,25487,25469,25475.8,318305,14377935,36
20-02-2026 09:22,SPOT,256265,25468,25473.5,25464.1,25466.85,0,0,56
20-02-2026 09:22,FUTURE,15150594,25480.6,25482.5,25471.5,25474.9,336570,14394965,49
20-02-2026 09:23,SPOT,256265,25467.8,25472.4,25451.15,25451.15,0,0,37
20-02-2026 09:23,FUTURE,15150594,25474.9,25483.4,25456.8,25458.5,380770,14394965,34
20-02-2026 09:24,SPOT,256265,25451.95,25451.95,25433.25,25433.25,0,0,35
20-02-2026 09:24,FUTURE,15150594,25456.8,25458.4,25440,25440,396955,14394965,33
20-02-2026 09:25,SPOT,256265,25431.55,25431.75,25411.7,25412.5,0,0,28
20-02-2026 09:25,FUTURE,15150594,25440,25444.5,25423,25425,414245,14433055,28
20-02-2026 09:26,SPOT,256265,25412.15,25425,25412.15,25419.3,0,0,42
20-02-2026 09:26,FUTURE,15150594,25430,25444.9,25429.1,25438.4,438685,14433055,41
20-02-2026 09:27,SPOT,256265,25417.95,25429.05,25413.7,25426.65,0,0,49
20-02-2026 09:27,FUTURE,15150594,25440.8,25449,25433.5,25446,448500,14433055,41
20-02-2026 09:28,SPOT,256265,25423.8,25423.8,25408.65,25408.65,0,0,48
20-02-2026 09:28,FUTURE,15150594,25444.1,25444.1,25425,25429,461175,14441440,45
20-02-2026 09:29,SPOT,256265,25408.25,25408.45,25381.25,25381.35,0,0,59
20-02-2026 09:29,FUTURE,15150594,25422.8,25430.9,25393,25393.7,503880,14441440,57
20-02-2026 09:30,SPOT,256265,25381.75,25422.55,25381.75,25422.55,0,0,46
20-02-2026 09:30,FUTURE,15150594,25395.4,25435.9,25393.1,25435.9,532025,14441440,41
20-02-2026 09:31,SPOT,256265,25424.45,25424.45,25401.75,25402.85,0,0,48
20-02-2026 09:31,FUTURE,15150594,25443.9,25443.9,25415,25418.4,569725,14443585,45
20-02-2026 09:32,SPOT,256265,25402.75,25429.25,25402.75,25428.8,0,0,55
20-02-2026 09:32,FUTURE,15150594,25418.4,25445,25415.1,25444.4,586170,14443585,56
20-02-2026 09:33,SPOT,256265,25429.3,25452.25,25429.3,25451.25,0,0,42
20-02-2026 09:33,FUTURE,15150594,25445.9,25470,25445.9,25466.9,626665,14443585,45
20-02-2026 09:34,SPOT,256265,25451.95,25468.8,25450.5,25464.75,0,0,55
20-02-2026 09:34,FUTURE,15150594,25471,25482,25464.9,25480.5,673855,14460030,56
20-02-2026 09:35,SPOT,256265,25466.35,25476.65,25465.45,25470.15,0,0,54
20-02-2026 09:35,FUTURE,15150594,25480,25489,25475.8,25480.9,693030,14460030,52
20-02-2026 09:36,SPOT,256265,25469.4,25479.4,25466.55,25476.1,0,0,59
20-02-2026 09:36,FUTURE,15150594,25480.7,25490,25475.1,25485,707330,14460030,59
20-02-2026 09:37,SPOT,256265,25474.45,25478.95,25464.75,25473.85,0,0,63
20-02-2026 09:37,FUTURE,15150594,25487,25487.9,25470.6,25480,725205,14490125,64
20-02-2026 09:38,SPOT,256265,25474.3,25474.9,25456.8,25458.5,0,0,73
20-02-2026 09:38,FUTURE,15150594,25480.4,25486.6,25461.7,25473.4,742690,14490125,64
